id,word_id,sense_id,ipa_us,audio_path,source_id,human_review
717f435d-7687-59e4-b38f-478f76443965,b03af018-138b-5e4c-a472-5560a28b9703,a21ce8dc-720e-597f-b69f-1230eec33f6a,/ˈfæməli/,,b3335777-dc5f-5448-a777-923e6115c08c,false
71662703-aa0e-5d2f-b8f8-0e409d33cc05,c7b71309-71b9-5cda-a712-b4ae6f288c90,52f765e5-e468-5d65-9e23-32fe2e05d59a,/ˈperənt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
2118c3f1-c268-5858-b9e0-a7e9c4a5c7ec,ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,4f6ac419-d836-541b-ae0d-76642b0975f9,/ˈmʌðər/,,b3335777-dc5f-5448-a777-923e6115c08c,false
9b6fd6c2-928a-5dfb-bf4f-48fefa46dda4,9bb02efc-bc28-5080-8bc9-4474df8e0147,3c6d20e2-e4f3-5afc-8058-e75033bf5972,/tʃaɪld/,,b3335777-dc5f-5448-a777-923e6115c08c,false
a58895a9-f833-5ef6-99f0-038f9e2804d3,980eb914-7cd7-5ffa-8097-bace94f18edf,3020574e-73de-51f6-a10f-bc5ac51d3680,/ˈfɑːðər/,,b3335777-dc5f-5448-a777-923e6115c08c,false
57702a13-ed21-53c1-8002-6a2e59fd02ec,67b1a04e-7214-510d-ad64-559dbb9af7da,df621dde-0b01-5bdf-a9b5-6d99ec8cc815,/sʌn/,,b3335777-dc5f-5448-a777-923e6115c08c,false
c34dca4d-f208-5fa9-9b84-0cb95abd1f12,62ef2aeb-e532-54b6-8a8a-65714fb6b524,c87a4cda-23e1-5c98-8efe-0ec654a4be4c,/ˈdɔːtər/,,b3335777-dc5f-5448-a777-923e6115c08c,false
a42d69f2-bb58-5eba-b816-abca7f1ab9e5,43647738-b133-5d8a-bd8f-3318808d95f5,ea790ea2-3091-590a-9382-4a34110050b5,/ˈbeɪbi/,,b3335777-dc5f-5448-a777-923e6115c08c,false
eb718d4e-042a-5110-9fce-17dd976326d3,e819ed39-0972-5e46-9f6e-a666bd33d521,bab89739-8d84-56fd-bae0-7b57f736aa43,/ˈbrʌðər/,,b3335777-dc5f-5448-a777-923e6115c08c,false
79d263e7-c6e0-5789-bf94-4ce76ab529d7,5e796aa6-34f0-567b-8ffe-88798986783e,ab1e57cb-ae3e-580e-a4f3-30f59714de7c,/dæd/,,b3335777-dc5f-5448-a777-923e6115c08c,false
f4461c58-b6a9-5c8e-a5bf-35acb58cc1cf,435264b6-1c58-587e-8a11-0d29278ec391,f1d7dd00-b6f5-5c36-8884-74d7a1a5a48b,/ˈhʌzbənd/,,b3335777-dc5f-5448-a777-923e6115c08c,false
c0368495-8ef7-544e-85ce-95e1745f1293,02ed640a-e6b4-5ec4-a19a-59b9bc178d75,c64a79e5-483d-5352-b614-92ed0ffb6196,/waɪf/,,b3335777-dc5f-5448-a777-923e6115c08c,false
db698e9d-b5d0-547a-816f-e6c69e6c7645,db2ade4d-7860-50fb-aff3-3ee580817824,984a8d58-de7e-54cf-96cf-391d0991b6eb,/ˈsɪstər/,,b3335777-dc5f-5448-a777-923e6115c08c,false
f8273599-15ba-54eb-9af0-e74b7f2462b4,8d608264-f4c6-5260-9778-58905566cb06,464a2429-5933-547e-8a0a-b02f137222c7,/ˈkʌpl/,,b3335777-dc5f-5448-a777-923e6115c08c,false
4eaa8fc9-ce94-5c42-aa3e-64bc5f28ab72,4c9a1056-f128-55d3-be94-90c4d1d97721,2581a8bc-9c9d-594a-8d91-454f0788f557,/ˈmærid/,,b3335777-dc5f-5448-a777-923e6115c08c,false
31f0de74-03ff-5c4a-9bce-7e3ee2e16496,9de3bbdc-b298-5665-8209-eab713778aeb,409986c8-ffcc-53b7-aace-b384482ff18c,/əˈdʌlt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
05219276-c7d3-591a-aded-1a809ea7f1d6,245d2d61-2f57-571e-96d1-500d63d0d20f,e1bcf777-956c-5d38-a71e-250e52b99b59,/ˈpɜːrsn/,,b3335777-dc5f-5448-a777-923e6115c08c,false
2791ee84-e667-53ec-8917-b230e8f98af1,d033c83a-e3c4-5238-bf32-65690bab8769,c6e0f7e8-2f18-5d03-b237-ea25fc5107e4,/ænt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
9b22b768-b1c5-5d2b-816a-e3b7ca932c1a,69c047e0-4eb6-5bec-b17d-5c250bb8776f,69792b86-17a5-5f99-9911-cf5c1bd0aa3d,/bɔɪ/,,b3335777-dc5f-5448-a777-923e6115c08c,false
ad4eabb8-c92e-50f5-99f8-470cb095af98,b6567532-9167-5259-8671-370e6fc9effe,458a2405-f0ad-53a0-a1c5-663fbd569b0a,/ɡɜːrl/,,b3335777-dc5f-5448-a777-923e6115c08c,false
74da82a2-38c3-59f9-a75e-d45b147d0dc0,960cf6f5-8c18-5420-995f-c32d350ee8ec,4c80dff6-1e30-561b-9f6c-6d34609a9b22,/ˈmærɪdʒ/,,b3335777-dc5f-5448-a777-923e6115c08c,false
5987e5ef-3545-5ba9-9153-e7af36595cd5,86c33fe3-6a67-5ac9-838f-3ec9459d32ef,0befb6d0-3c67-523f-9830-41b1ba30d733,/ˈʌŋkl/,,b3335777-dc5f-5448-a777-923e6115c08c,false
